iter	Passed	Remaining
424	1579	2136
425	1581	2130
426	1582	2124
427	1588	2122
428	1590	2116
429	1591	2110
430	1593	2103
431	1595	2097
432	1596	2090
433	1598	2084
434	1604	2084
435	1606	2078
436	1608	2072
437	1609	2065
438	1611	2059
439	1612	2052
440	1616	2049
441	1621	2046
442	1626	2045
443	1641	2055
444	1643	2049
445	1649	2048
446	1651	2042
447	1652	2036
448	1654	2030
449	1656	2025
450	1663	2025
451	1666	2020
452	1668	2015
453	1671	2009
454	1673	2004
455	1679	2003
456	1683	2000
457	1688	1997
458	1693	1996
459	1695	1990
460	1697	1984
461	1700	1980
462	1703	1975
463	1709	1975
464	1711	1969
465	1713	1963
466	1715	1957
467	1717	1951
468	1720	1948
469	1723	1943
470	1724	1936
471	1726	1930
472	1727	1924
473	1729	1919
474	1740	1923
475	1745	1922
476	1751	1920
477	1755	1916
478	1757	1911
479	1759	1905
480	1760	1900
481	1762	1894
482	1765	1889
483	1767	1884
484	1770	1879
485	1772	1874
486	1774	1869
487	1776	1863
488	1777	1857
489	1780	1852
490	1781	1847
491	1783	1841
492	1785	1836
493	1787	1830
494	1788	1824
495	1789	1818
496	1792	1813
497	1794	1808
498	1795	1803
499	1797	1797
500	1799	1792
501	1801	1787
502	1803	1781
503	1805	1776
504	1807	1771
505	1809	1766
506	1811	1761
507	1812	1755
508	1814	1750
509	1815	1744
510	1817	1739
511	1819	1733
512	1821	1729
513	1824	1724
514	1826	1719
515	1827	1714
516	1829	1708
517	1830	1703
518	1832	1698
519	1834	1693
520	1836	1688
521	1838	1683
522	1841	1679
523	1843	1674
524	1844	1669
525	1846	1664
526	1849	1660
527	1851	1655
528	1853	1650
529	1855	1645
530	1857	1640
531	1859	1635
532	1861	1630
533	1863	1626
534	1865	1621
535	1866	1615
536	1867	1610
537	1869	1605
538	1870	1599
539	1871	1594
540	1872	1588
541	1874	1584
542	1876	1579
543	1877	1574
544	1879	1568
545	1880	1563
546	1882	1558
547	1883	1553
548	1885	1548
549	1886	1543
550	1887	1538
551	1902	1544
552	1904	1539
553	1907	1535
554	1909	1531
555	1910	1526
556	1912	1521
557	1914	1516
558	1915	1511
559	1916	1506
560	1918	1501
561	1920	1496
562	1922	1492
563	1924	1487
564	1925	1482
565	1926	1477
566	1927	1472
567	1929	1467
568	1930	1462
569	1933	1458
570	1934	1453
571	1935	1448
572	1937	1443
573	1939	1439
574	1941	1435
575	1943	1430
576	1944	1425
577	1946	1421
578	1948	1416
579	1949	1411
580	1950	1406
581	1951	1401
582	1952	1396
583	1954	1392
584	1955	1387
585	1957	1382
586	1958	1377
587	1959	1373
588	1961	1368
589	1962	1363
590	1963	1358
591	1964	1354
592	1966	1349
593	1967	1344
594	1968	1339
595	1969	1335
596	1970	1330
597	1971	1325
598	1973	1321
599	1975	1316
600	1976	1312
601	1977	1307
602	1978	1302
603	1979	1298
604	1982	1294
605	1983	1289
606	1984	1284
607	1986	1280
608	1988	1276
609	1989	1272
610	1990	1267
611	1992	1262
612	1993	1258
613	1995	1254
614	1996	1249
615	1997	1245
616	1998	1240
617	1999	1235
618	2001	1231
619	2002	1227
620	2004	1223
621	2005	1218
622	2006	1214
623	2007	1209
624	2008	1205
625	2009	1200
626	2010	1196
627	2011	1191
628	2012	1187
629	2014	1182
630	2015	1178
631	2017	1174
632	2018	1170
633	2019	1165
634	2020	1161
635	2022	1157
636	2023	1152
637	2024	1148
638	2025	1144
639	2026	1139
640	2027	1135
641	2028	1131
642	2030	1127
643	2031	1123
644	2032	1118
645	2033	1114
646	2035	1110
647	2036	1106
648	2037	1102
649	2038	1097
650	2040	1093
651	2041	1089
652	2042	1085
653	2043	1081
654	2045	1077
655	2046	1073
656	2047	1068
657	2048	1064
658	2050	1060
659	2051	1056
660	2052	1052
661	2053	1048
662	2054	1044
663	2055	1040
664	2056	1036
665	2058	1032
666	2060	1028
667	2061	1024
668	2062	1020
669	2063	1016
670	2065	1012
671	2066	1008
672	2067	1004
673	2069	1000
674	2070	996
675	2071	993
676	2073	989
677	2074	985
678	2075	981
679	2077	977
680	2078	973
681	2079	969
682	2080	965
683	2082	961
684	2083	957
685	2084	953
686	2085	950
687	2087	946
688	2088	942
689	2089	938
690	2090	934
691	2092	931
692	2093	927
693	2094	923
694	2095	919
695	2096	915
696	2097	911
697	2098	908
698	2100	904
699	2102	900
700	2103	897
701	2105	893
702	2107	890
703	2108	886
704	2109	882
705	2110	878
706	2111	875
707	2114	872
708	2116	868
709	2118	865
710	2120	861
711	2122	858
712	2123	854
713	2125	851
714	2127	847
715	2132	845
716	2135	842
717	2137	839
718	2140	836
719	2143	833
720	2146	830
721	2148	827
722	2151	824
723	2153	820
724	2156	818
725	2158	814
726	2161	811
727	2163	808
728	2165	805
729	2167	801
730	2169	798
731	2173	795
732	2175	792
733	2178	789
734	2179	785
735	2180	782
736	2182	778
737	2183	775
738	2186	772
739	2188	768
740	2190	765
741	2191	762
742	2193	758
743	2195	755
744	2197	752
745	2199	748
746	2201	745
747	2203	742
748	2204	738
749	2206	735
750	2207	731
751	2208	728
752	2209	724
753	2212	721
754	2214	718
755	2215	715
756	2217	711
757	2219	708
758	2221	705
759	2222	701
760	2223	698
761	2224	694
762	2226	691
763	2227	688
764	2229	684
765	2230	681
